"geometry","pair","size","time","species","perimeter_um","relative_perimeter","concentration_uM"
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",49.6093913396106,0.220125786163522,1.30475388859973
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",51.0268025207424,0.226415094339623,1.3498416116779
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",51.7355081113082,0.229559748427673,1.3498416116779
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",53.15291929244,0.235849056603774,1.42088071513648
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",53.8616248830058,0.238993710691824,1.5432411517615
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",55.2790360641376,0.245283018867925,1.73017023993276
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",55.9877416547034,0.248427672955975,2.09245672129814
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",57.4051528358352,0.254716981132075,2.48234730920337
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",58.8225640169669,0.261006289308176,2.92049856115731
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",59.5312696075328,0.264150943396226,3.75831013059094
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",60.9486807886645,0.270440251572327,4.10845564698923
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",61.6573863792304,0.273584905660377,4.49212365625282
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",63.0747975603621,0.279874213836478,5.14542614209457
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",64.4922087414938,0.286163522012579,5.27188380911499
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",65.2009143320597,0.289308176100629,5.42525038050792
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",66.6183255131914,0.29559748427673,5.70178676680311
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",67.3270311037573,0.29874213836478,5.81099870357059
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",68.744442284889,0.30503144654088,5.88752066312456
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",70.1618534660208,0.311320754716981,6.10012757798494
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",70.8705590565866,0.314465408805031,6.17653370369293
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",72.2879702377184,0.320754716981132,6.23309415677616
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",72.9966758282842,0.323899371069182,6.3124897411757
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",74.414087009416,0.330188679245283,6.36222893203018
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",75.8314981905477,0.336477987421384,6.41106889693364
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",76.5402037811135,0.339622641509434,6.46559596914899
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",77.9576149622453,0.345911949685535,6.50803379626187
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",78.6663205528112,0.349056603773585,6.54538441964089
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",80.0837317339429,0.355345911949686,6.57671044490028
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",80.7924373245088,0.358490566037736,6.57671044490028
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",82.2098485056405,0.364779874213836,6.60487138672561
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",83.6272596867722,0.371069182389937,6.63154165435974
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",84.3359652773381,0.374213836477987,6.65535893775633
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",85.7533764584698,0.380503144654088,6.63816769312441
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",86.4620820490357,0.383647798742138,6.64844349435811
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",87.8794932301674,0.389937106918239,6.66898595659143
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",89.2969044112992,0.39622641509434,6.65257798784763
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",90.005610001865,0.39937106918239,6.66722448813657
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",91.4230211829967,0.405660377358491,6.69200082273915
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",92.1317267735626,0.408805031446541,6.69200082273915
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",93.5491379546943,0.415094339622641,6.6530184610345
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",94.9665491358261,0.421383647798742,6.66558278686553
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",95.6752547263919,0.424528301886792,6.65125939781464
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",97.0926659075237,0.430817610062893,6.67254249017415
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",97.8013714980895,0.433962264150943,6.65906640321147
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",99.2187826792213,0.440251572327044,6.66617929428037
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",100.636193860353,0.446540880503145,6.65518724778904
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",101.344899450919,0.449685534591195,6.64159239275299
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",102.762310632051,0.455974842767296,6.67415140089202
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",103.471016222616,0.459119496855346,6.66499553515696
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",104.888427403748,0.465408805031447,6.63772422979169
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",105.597132994314,0.468553459119497,6.62469353152791
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",107.014544175446,0.474842767295597,6.66161804420737
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",108.431955356578,0.481132075471698,6.65774846237526
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",109.140660947143,0.484276729559748,6.65219191142355
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",110.558072128275,0.490566037735849,6.64133954491741
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",111.266777718841,0.493710691823899,6.63737248078922
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",112.684188899973,0.5,6.6338389038784
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",114.101600081104,0.506289308176101,6.63666265607029
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",114.81030567167,0.509433962264151,6.64027300606655
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",116.227716852802,0.515723270440252,6.65042058316338
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",116.936422443368,0.518867924528302,6.65565460330994
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",118.3538336245,0.525157232704403,6.6592808552454
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",119.771244805631,0.531446540880503,6.62100814552531
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",120.479950396197,0.534591194968553,6.6335426348055
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",121.897361577329,0.540880503144654,6.65995177707913
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",122.606067167895,0.544025157232704,6.66882673644933
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",124.023478349027,0.550314465408805,6.63547996843414
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",124.732183939592,0.553459119496855,6.64871426317302
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",126.149595120724,0.559748427672956,6.65951373113633
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",127.567006301856,0.566037735849057,6.6525517852495
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",128.275711892422,0.569182389937107,6.66654438531456
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",129.693123073554,0.575471698113208,6.64937824352269
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",130.401828664119,0.578616352201258,6.67079555997783
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",131.819239845251,0.584905660377358,6.68643071526151
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",133.236651026383,0.591194968553459,6.68340967651173
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",133.945356616949,0.594339622641509,6.68340967651173
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",135.36276779808,0.60062893081761,6.68127547470018
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",136.071473388646,0.60377358490566,6.68127547470018
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",137.488884569778,0.610062893081761,6.65720860205193
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",138.90629575091,0.616352201257862,6.65922973419837
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",139.615001341476,0.619496855345912,6.65922973419837
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",141.032412522607,0.625786163522013,6.63506730109691
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",141.741118113173,0.628930817610063,6.60997981511977
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",143.158529294305,0.635220125786163,6.58596869214982
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",144.575940475437,0.641509433962264,6.56207553449644
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",145.284646066003,0.644654088050314,6.56207553449644
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",146.702057247134,0.650943396226415,6.53636722889431
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",147.4107628377,0.654088050314465,6.50617391613429
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",148.828174018832,0.660377358490566,6.46819031231433
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",149.536879609398,0.663522012578616,6.46819031231433
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",150.95429079053,0.669811320754717,6.36458506549761
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",152.371701971661,0.676100628930818,6.31678699341528
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",153.080407562227,0.679245283018868,6.24519798927944
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",154.497818743359,0.685534591194969,6.19098591346475
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",155.206524333925,0.688679245283019,6.10016541142516
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",156.623935515056,0.694968553459119,6.03743345144887
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",158.041346696188,0.70125786163522,5.85160252140744
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",158.750052286754,0.70440251572327,5.74137058586682
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",160.167463467886,0.710691823899371,5.47900504560339
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",160.876169058452,0.713836477987421,5.31590305125648
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",162.293580239583,0.720125786163522,4.8809405506934
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",163.710991420715,0.726415094339623,4.36151673277446
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",164.419697011281,0.729559748427673,4.36151673277446
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",165.837108192413,0.735849056603774,3.31888178897676
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",166.545813782979,0.738993710691824,3.31888178897676
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",167.96322496411,0.745283018867925,2.86504976485877
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",169.380636145242,0.751572327044025,2.09033028983547
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",170.089341735808,0.754716981132075,2.09033028983547
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",171.50675291694,0.761006289308176,1.91927605255081
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",172.215458507506,0.764150943396226,1.68689147933123
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",173.632869688637,0.770440251572327,1.36207880989314
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",174.341575279203,0.773584905660377,1.36207880989314
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",175.758986460335,0.779874213836478,1.2780720149074
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",177.176397641467,0.786163522012579,1.23062997948342
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",177.885103232032,0.789308176100629,1.20727205331274
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",179.302514413164,0.795597484276729,1.19980782752583
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",180.01122000373,0.79874213836478,1.19980782752583
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",181.428631184862,0.80503144654088,1.2002631681104
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",182.846042365993,0.811320754716981,1.14834507595244
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",183.554747956559,0.814465408805031,1.14834507595244
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",184.972159137691,0.820754716981132,1.13872518241036
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",185.680864728257,0.823899371069182,1.13932286501946
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",187.098275909389,0.830188679245283,1.14708571544625
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",188.51568709052,0.836477987421384,1.16037288463311
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",189.224392681086,0.839622641509434,1.16037288463311
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",190.641803862218,0.845911949685535,1.17661909100646
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",191.350509452784,0.849056603773585,1.18371643524283
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",192.767920633916,0.855345911949685,1.16837463052194
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",193.476626224481,0.858490566037736,1.17166995915882
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",194.894037405613,0.864779874213836,1.18081111672682
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",196.311448586745,0.871069182389937,1.19340197568903
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",197.020154177311,0.874213836477987,1.19340197568903
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",198.437565358443,0.880503144654088,1.20831246833877
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",199.146270949008,0.883647798742138,1.22485579595175
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",200.56368213014,0.889937106918239,1.24178670228867
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",201.981093311272,0.89622641509434,1.25285238040491
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",202.689798901838,0.89937106918239,1.24468864576797
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",204.107210082969,0.905660377358491,1.24768795016508
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",204.815915673535,0.908805031446541,1.24768795016508
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",206.233326854667,0.915094339622641,1.25245607789942
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",207.650738035799,0.921383647798742,1.2570544656252
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",10,"Rac_act",208.359443626365,0.924528301886792,1.26012169829085
