"geometry","pair","size","length_um","width_um","aspect_ratio","volume_ratio","time_to_90pct_cdc42_polarity_s","final_cdc42_front_back","final_rac_front_back","final_rho_front_back","final_rho_separation_cell_lengths","final_cdc42_boundary_mean_uM","final_rac_boundary_mean_uM","final_rho_boundary_mean_uM","final_cdc42_peaks","max_cdc42_peaks_after_stimulus","cdc42_multi_peak_duration_s","rac_multi_peak_duration_s","max_late_cdc42_peaks","late_peak_position_sd","late_contrast_cv","unique_state_stable"
"AR 1.00 - 0.5x","L:W = 90:90","0.5x",56.6964472452693,56.6964472452693,1,0.5,20,77.4993418786791,253.342425549663,0.0233790612401314,0.354557010702094,1.59352616198338,4.61702810998197,1.37758420150378,1,1,0,0,1,0.0050296738510185,0.000264845311598066,TRUE
"AR 1.00 - 1x","L:W = 90:90","1x",71.433047338569,71.433047338569,1,1,22,58.0439188874007,169.037012945872,0.133380455342276,0.252674655173061,1.30534837610749,4.10927145536218,1.52397540377957,1,1,0,174,1,0,2.8952629957896e-05,TRUE
"AR 1.00 - 2x","L:W = 90:90","2x",90,90,1,2,25,52.5298731299132,170.788182039369,0.245218598662385,0.164342597413196,1.75276459135094,5.59571551879109,1.34308494240111,2,3,166,180,2,0,0.000105749899243527,FALSE
"AR 1.29 - 0.5x","L:W = 90:70","0.5x",56.6964472452693,44.0972367463206,1.28571428571429,0.5,20,83.3756287946936,277.193565967853,0.0211555158450811,0.37700404538662,1.7694981563737,5.10484541022019,1.30793259222996,1,1,0,0,1,0.00622016689410141,0.000302057328014977,TRUE
"AR 1.29 - 1x","L:W = 90:70","1x",71.433047338569,55.559036818887,1.28571428571429,1,23,59.4796217758838,158.431770259376,0.0517585908872971,0.275897369256508,1.08163323476726,2.79968038899241,1.51901930905619,1,1,0,121,1,0.00603807364424558,0.000207831062607795,TRUE
"AR 1.29 - 2x","L:W = 90:70","2x",90,70,1.28571428571429,2,25,53.9685865904992,174.219538050486,0.228166147087478,0.172234933204481,1.66049960494153,5.26665136271565,1.38810078792304,2,3,168,181,2,0.00545544725589981,5.40400060777e-05,FALSE
